English,Japanese
Example,例
Junior,ジュニア部門
Professional,プロフェッショナル部門
Amateur,アマチュア部門
Amateur,愛好家部門
Clarinet,クラリネット
Trumpet,トランペット
Violin,ヴァイオリン
Young Artist,ヤングアーティスト部門
Artist,アーティスト部門
Oboe,オーボエ
Saxophone,サクソフォン
Saxophone,サクソフォーン
Soprano,ソプラノ
Cello,チェロ
Trombone,トロンボーン
Harp,ハープ
"Bass, Bariton",バス・バリトン
Piano,ピアノ
Piano Solo,ピアノ独奏
Piano 4 Hands,ピアノ連弾
Viola,ヴィオラ
Double Bass,コントラバス
Flute,フルート
Bassoon,ファゴット
French Horn,ホルン
Euphonium,ユーフォニアム
Tuba,チューバ
Percussion,パーカッション
Voice (Soprano),声楽（ソプラノ）
Voice (Mezzo-soprano),声楽（メゾ・ソプラノ）
Voice (Alto),声楽（アルト）
Voice (Tenor),声楽（テノール）
Voice (Baritone),声楽（バリトン）
Voice (Bass),声楽（バス）
Chamber Music / Ensemble,室内楽・アンサンブル
Recorder,リコーダー
Classical Guitar,クラシックギター
Handbell,ハンドベル
Japanese Traditional Instruments,和楽器
Period Instruments,古楽器
Other,その他
Wind Instruments,管楽器
woodwind Instruments,木管楽器
Brass Instruments,金管楽器
Keyboard Instrument,鍵盤楽器
Stringed Instruments,弦楽器
Voice,声楽
Percussion Instruments,打楽器
